ballnumber,inningno,over,outcome,batter,bowler,comment
73,2,12.1,1,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, 1 run,"
74,2,12.2,1,Aiden Markram,Mohit Rathee,"Mohit Rathee to Aiden Markram, 1 run,"
75,2,12.3,0,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, no run,"
76,2,12.4,0,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, no run,"
77,2,12.5,6,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, Six,"
78,2,12.6,0,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, no run,"
79,2,13.1,1,Aiden Markram,Arshdeep Singh,"Arshdeep Singh to Aiden Markram, 1 run,"
80,2,13.2,0,Rahul Tripathi,Arshdeep Singh,"Arshdeep Singh to Rahul Tripathi, no run,"
81,2,13.3,0,Rahul Tripathi,Arshdeep Singh,"Arshdeep Singh to Rahul Tripathi, no run,"
82,2,13.4,1,Rahul Tripathi,Arshdeep Singh,"Arshdeep Singh to Rahul Tripathi, 1 run,"
83,2,13.5,1,Aiden Markram,Arshdeep Singh,"Arshdeep Singh to Aiden Markram, 1 run,"
84,2,13.6,0,Rahul Tripathi,Arshdeep Singh,"Arshdeep Singh to Rahul Tripathi, no run,"
85,2,14.1,2,Aiden Markram,Mohit Rathee,"Mohit Rathee to Aiden Markram, 2 runs,"
86,2,14.2,4,Aiden Markram,Mohit Rathee,"Mohit Rathee to Aiden Markram, Four,"
87,2,14.3,1,Aiden Markram,Mohit Rathee,"Mohit Rathee to Aiden Markram, 1 run,"
88,2,14.4,6,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, Six,"
89,2,14.5,4,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, Four,"
90,2,14.6,4,Rahul Tripathi,Mohit Rathee,"Mohit Rathee to Rahul Tripathi, Four,"
91,2,15.1,1,Aiden Markram,Sam Curran,"Sam Curran to Aiden Markram, 1 run,"
92,2,15.2,1,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, 1 run,"
93,2,15.3,0,Aiden Markram,Sam Curran,"Sam Curran to Aiden Markram, no run,"
94,2,15.4,1,Aiden Markram,Sam Curran,"Sam Curran to Aiden Markram, 1 run,"
95,2,15.5,2,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, 2 runs,"
96,2,15.6,1,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, 1 run,"
97,2,16.1,1,Rahul Tripathi,Nathan Ellis,"Nathan Ellis to Rahul Tripathi, 1 run,"
98,2,16.2,4,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, Four,"
99,2,16.3,0,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, no run,"
100,2,16.4,4,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, Four,"
101,2,16.5,4,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, Four,"
102,2,16.6,4,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, Four,"
103,2,17.1,4,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, Four,"
1,1,0.1,0,Rohit Sharma,Deepak Chahar,"Deepak Chahar to Rohit Sharma, no run,"
2,1,0.2,0,Rohit Sharma,Deepak Chahar,"Deepak Chahar to Rohit Sharma, no run,"
