ballnumber,inningno,over,outcome,batter,bowler,comment
35,1,5.5,1,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, 1 run,"
36,1,5.6,1,Jos Buttler,Tushar Deshpande,"Tushar Deshpande to Jos Buttler, 1 run,"
37,1,6.1,5wd,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 5 wide,"
38,1,6.1,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
39,1,6.2,1,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, 1 run,"
40,1,6.3,1wd,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 wide,"
41,1,6.3,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
42,1,6.4,0,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, no run,"
43,1,6.5,1,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, 1 run,"
44,1,6.6,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
45,1,7.1,1,Jos Buttler,Moeen Ali,"Moeen Ali to Jos Buttler, 1 run,"
46,1,7.2,3,Devdutt Padikkal,Moeen Ali,"Moeen Ali to Devdutt Padikkal, 3 runs,"
47,1,7.3,1,Jos Buttler,Moeen Ali,"Moeen Ali to Jos Buttler, 1 run,"
48,1,7.4,1,Devdutt Padikkal,Moeen Ali,"Moeen Ali to Devdutt Padikkal, 1 run,"
49,1,7.5,6,Jos Buttler,Moeen Ali,"Moeen Ali to Jos Buttler, Six,"
50,1,7.6,6,Jos Buttler,Moeen Ali,"Moeen Ali to Jos Buttler, Six,"
51,1,8.1,2,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, 2 runs,"
52,1,8.2,0,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, no run,"
53,1,8.3,w,Devdutt Padikkal,Ravindra Jadeja,"Ravindra Jadeja to Devdutt Padikkal, no run,                           Wicket - c Devon Conway b RA Jadeja batsmen out 38(26)"
54,1,8.4,0,Sanju Samson,Ravindra Jadeja,"Ravindra Jadeja to Sanju Samson, no run,"
55,1,8.5,w,Sanju Samson,Ravindra Jadeja,"Ravindra Jadeja to Sanju Samson, no run,                           Wicket - b RA Jadeja batsmen out 0(2)"
56,1,8.6,0,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, no run,"
57,1,9.1,2,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, 2 runs,"
58,1,9.2,1,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, 1 run,"
59,1,9.3,1,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 1 run,"
60,1,9.4,1,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, 1 run,"
61,1,9.5,1wd,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 1 wide,"
62,1,9.5,0,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, no run,"
63,1,9.6,1,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 1 run,"
64,1,10.1,0,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, no run,"
65,1,10.2,0,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, no run,"
66,1,10.3,1,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, 1 run,"
67,1,10.4,0,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, no run,"
68,1,10.5,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
